,prompt,classes,answer_index
76,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""last* week jared was driving to work.""
 A. ""first week jared was driving to work.""
 B. ""last week jared was driving to work.""
Output:","[' A.', ' B.']",0
77,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""he had been partying hard* the night before.""
 A. ""he had been partying soft the night before.""
 B. ""he had been partying severe the night before.""
Output:","[' A.', ' B.']",0
78,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""joe grew a big* batch of peas in his garden.""
 A. ""joe grew a little batch of peas in his garden.""
 B. ""joe grew a heavy batch of peas in his garden.""
Output:","[' A.', ' B.']",0
79,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""he brought the peas inside and shelled* them all.""
 A. ""he brought the peas inside and unshelled them all.""
 B. ""he brought the peas inside and shelled them all.""
Output:","[' A.', ' B.']",0
80,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""then he cooked* them up in a big pot.""
 A. ""then he cooked them up in a big pot.""
 B. ""then he raw them up in a big pot.""
Output:","[' A.', ' B.']",1
81,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""he added ham, bacon, and carrots to make thick* pea soup.""
 A. ""he added ham, bacon, and carrots to make thin pea soup.""
 B. ""he added ham, bacon, and carrots to make thick pea soup.""
Output:","[' A.', ' B.']",0
82,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""aliza had a long lost ex-boyfriend she was bound* to find.""
 A. ""aliza had a long lost ex-boyfriend she was free to find.""
 B. ""aliza had a long lost ex-boyfriend she was bound to find.""
Output:","[' A.', ' B.']",0
83,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""the problem was, he moved* to a new state.""
 A. ""the problem was, he touched to a new state.""
 B. ""the problem was, he unmoved to a new state.""
Output:","[' A.', ' B.']",1
84,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""she found him, but he was married* with kids.""
 A. ""she found him, but he was married with kids.""
 B. ""she found him, but he was unmarried with kids.""
Output:","[' A.', ' B.']",1
85,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""lina went to see how candy canes were made*.""
 A. ""lina went to see how candy canes were unmade.""
 B. ""lina went to see how candy canes were made.""
Output:","[' A.', ' B.']",0
86,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""she watched as the workers added dye to the hot* candy.""
 A. ""she watched as the workers added dye to the cold candy.""
 B. ""she watched as the workers added dye to the hot candy.""
Output:","[' A.', ' B.']",0
87,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""then, they stretched it out* to make it shiny.""
 A. ""then, they stretched it out to make it shiny.""
 B. ""then, they stretched it safe to make it shiny.""
Output:","[' A.', ' B.']",1
88,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""finally, they shaped it into a cane and let it cool*.""
 A. ""finally, they shaped it into a cane and let it cool.""
 B. ""finally, they shaped it into a cane and let it warm.""
Output:","[' A.', ' B.']",1
89,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""when i first moved* into my house, i didn't know my neighbors.""
 A. ""when i first unmoved into my house, i didn't know my neighbors.""
 B. ""when i first touched into my house, i didn't know my neighbors.""
Output:","[' A.', ' B.']",0
90,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""while mowing one day, i found* a kickball in my yard.""
 A. ""while mowing one day, i lost a kickball in my yard.""
 B. ""while mowing one day, i found a kickball in my yard.""
Output:","[' A.', ' B.']",0
91,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""i felt this was the perfect* opportunity to meet my neighbors.""
 A. ""i felt this was the perfect opportunity to meet my neighbors.""
 B. ""i felt this was the imperfect opportunity to meet my neighbors.""
Output:","[' A.', ' B.']",1
92,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""bev had been studying very hard*.""
 A. ""bev had been studying very severe.""
 B. ""bev had been studying very soft.""
Output:","[' A.', ' B.']",1
93,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""when it came, she slept in very late*.""
 A. ""when it came, she slept in very recent.""
 B. ""when it came, she slept in very early.""
Output:","[' A.', ' B.']",1
94,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""then she got up* and went out to party.""
 A. ""then she got up and went out to party.""
 B. ""then she got down and went out to party.""
Output:","[' A.', ' B.']",1
95,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""we went early* to beat the crowd.""
 A. ""we went early to beat the crowd.""
 B. ""we went middle to beat the crowd.""
Output:","[' A.', ' B.']",1
96,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""bernice always wanted* to travel to africa.""
 A. ""bernice always wanted to travel to africa.""
 B. ""bernice always unwanted to travel to africa.""
Output:","[' A.', ' B.']",1
97,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""in addition, bernice looked up the price of hotels as well*.""
 A. ""in addition, bernice looked up the price of hotels as well.""
 B. ""in addition, bernice looked up the price of hotels as ill.""
Output:","[' A.', ' B.']",1
98,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""jim made* spinach cookies.""
 A. ""jim made spinach cookies.""
 B. ""jim unmade spinach cookies.""
Output:","[' A.', ' B.']",1
99,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""he sold* them for five dollars each.""
 A. ""he sold them for five dollars each.""
 B. ""he unsold them for five dollars each.""
Output:","[' A.', ' B.']",1
100,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""no* one bought any.""
 A. ""no one bought any.""
 B. ""all one bought any.""
Output:","[' A.', ' B.']",1
101,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""however, at the last* minute a man wanted twenty.""
 A. ""however, at the first minute a man wanted twenty.""
 B. ""however, at the last minute a man wanted twenty.""
Output:","[' A.', ' B.']",0
102,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""he was supposed to take a right after the white* house.""
 A. ""he was supposed to take a right after the white house.""
 B. ""he was supposed to take a right after the black house.""
Output:","[' A.', ' B.']",1
103,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""randy continued* to get lost.""
 A. ""randy continued to get lost.""
 B. ""randy discontinued to get lost.""
Output:","[' A.', ' B.']",1
104,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""he backtracked continuously until he finally found* it.""
 A. ""he backtracked continuously until he finally found it.""
 B. ""he backtracked continuously until he finally lost it.""
Output:","[' A.', ' B.']",1
105,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""i decided to go* on a bike ride with my brother.""
 A. ""i decided to no-go on a bike ride with my brother.""
 B. ""i decided to go on a bike ride with my brother.""
Output:","[' A.', ' B.']",0
106,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""we both headed* out in the morning.""
 A. ""we both unheaded out in the morning.""
 B. ""we both headed out in the morning.""
Output:","[' A.', ' B.']",0
107,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""she was getting her nails done for the first* time.""
 A. ""she was getting her nails done for the 1st time.""
 B. ""she was getting her nails done for the second time.""
Output:","[' A.', ' B.']",1
108,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""she was nervous, but the tech was friendly*.""
 A. ""she was nervous, but the tech was well-disposed.""
 B. ""she was nervous, but the tech was unfriendly.""
Output:","[' A.', ' B.']",1
109,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""when they went to college, each moved* to a different town.""
 A. ""when they went to college, each touched to a different town.""
 B. ""when they went to college, each unmoved to a different town.""
Output:","[' A.', ' B.']",1
110,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""sarah received an unexpected* call from david on friday.""
 A. ""sarah received an expected call from david on friday.""
 B. ""sarah received an unexpected call from david on friday.""
Output:","[' A.', ' B.']",0
111,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""aj was looking at a cereal box and when he looked up* his mom was gone.""
 A. ""aj was looking at a cereal box and when he looked down his mom was gone.""
 B. ""aj was looking at a cereal box and when he looked up his mom was gone.""
Output:","[' A.', ' B.']",0
112,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""then his mom stepped out* from behind a display of soup.""
 A. ""then his mom stepped safe from behind a display of soup.""
 B. ""then his mom stepped out from behind a display of soup.""
Output:","[' A.', ' B.']",0
113,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""he dug through a stack of old* clothes.""
 A. ""he dug through a stack of young clothes.""
 B. ""he dug through a stack of old clothes.""
Output:","[' A.', ' B.']",0
114,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""at the bottom* was a vintage shirt with a rock band on it.""
 A. ""at the bottom was a vintage shirt with a rock band on it.""
 B. ""at the side was a vintage shirt with a rock band on it.""
Output:","[' A.', ' B.']",1
115,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""joe put the shirt on to try it out*.""
 A. ""joe put the shirt on to try it out.""
 B. ""joe put the shirt on to try it safe.""
Output:","[' A.', ' B.']",1
116,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""priya decided to try a new* restaurant.""
 A. ""priya decided to try a new restaurant.""
 B. ""priya decided to try a worn restaurant.""
Output:","[' A.', ' B.']",1
117,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""she drove to a new* cafe that opened.""
 A. ""she drove to a new cafe that opened.""
 B. ""she drove to a worn cafe that opened.""
Output:","[' A.', ' B.']",1
118,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""she ordered* a mimosa and a breakfast burrito.""
 A. ""she disordered a mimosa and a breakfast burrito.""
 B. ""she ordered a mimosa and a breakfast burrito.""
Output:","[' A.', ' B.']",0
119,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""karen was assigned* a roommate her first year of college.""
 A. ""karen was assigned a roommate her first year of college.""
 B. ""karen was unassigned a roommate her first year of college.""
Output:","[' A.', ' B.']",1
120,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""one day, her roommate asked her to go* to a nearby city for a concert.""
 A. ""one day, her roommate asked her to go to a nearby city for a concert.""
 B. ""one day, her roommate asked her to no-go to a nearby city for a concert.""
Output:","[' A.', ' B.']",1
121,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""we took a family vacation to the beach last* year.""
 A. ""we took a family vacation to the beach first year.""
 B. ""we took a family vacation to the beach last year.""
Output:","[' A.', ' B.']",0
122,"Replace the adjective marked with ""*"" with its opposite meaning.

Input: ""i spent a lot of time reading with my mom on* the beach.""
 A. ""i spent a lot of time reading with my mom off the beach.""
 B. ""i spent a lot of time reading with my mom on the beach.""
Output:","[' A.', ' B.']",0
